n,code,note
1,x,
2,x,
3,x,
4,x,
5,x,
6,x,
7,x,
8,x,
9,x,
10,yes,
11,yes,
12,yes,
13,yes,
14,yes,
15,yes,
16,yes,
17,yes,
18,no,operations research
19,yes,
20,yes,
21,no,warehouse mgmt systems or warehouse robotics
22,yes,
23,yes,
24,yes,
25,yes,
26,yes,
27,yes,
28,yes,
29,yes,
30,yes,
31,yes,
32,yes,
33,yes,
34,yes,
35,yes,
36,yes,
37,yes,
38,yes,
39,yes,
40,yes,
41,yes,
42,yes,
43,yes,
44,yes,
45,yes,
46,yes,
47,yes,
48,yes,
49,yes,
50,yes,
51,yes,
52,yes,
53,yes,
54,yes,
55,yes,
56,yes,
57,yes,
58,yes,
59,yes,
60,yes,
61,yes,
62,yes,
63,yes,
64,yes,
65,yes,
66,yes,
67,yes,
68,yes,
69,yes,
70,x,
71,x,
72,x,
73,x,
74,x,
75,x,
76,x,
77,x,
78,x,
79,x,
80,x,
81,x,
82,x,
83,x,
84,x,
85,x,
86,x,
87,x,
88,x,
89,x,
90,x,
91,x,
92,x,
93,x,
94,yes,
95,yes,
96,yes,
97,yes,
98,yes,
99,no,critical infrastructure
100,no,critical infrastructure
101,no,critical infrastructure
102,no,electrification of logsitics vehicles
103,yes,
104,no,critical infrastructure
105,no,positive train control
